
        aeat         rho           p          cp           t         isp          ae          cf
   0.0000E+00  1.3280E+01  1.2773E+01  1.6212E+02  6.4413E+00  3.8260E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.2145E+00  7.8772E+00  9.3805E+01  6.4880E+00  3.6402E+03  1.1599E+03  1.0000E+00
   0.0000E+00  1.3902E+01  1.3550E+01  1.7225E+02  6.3916E+00  3.8355E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.5997E+00  8.3567E+00  9.9658E+01  6.4378E+00  3.6487E+03  1.1608E+03  1.0000E+00
   0.0000E+00  1.4524E+01  1.4326E+01  1.8238E+02  6.3451E+00  3.8445E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.9847E+00  8.8355E+00  1.0551E+02  6.3909E+00  3.6567E+03  1.1617E+03  1.0000E+00
   0.0000E+00  1.5145E+01  1.5101E+01  1.9252E+02  6.3015E+00  3.8530E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.3694E+00  9.3137E+00  1.1136E+02  6.3469E+00  3.6642E+03  1.1626E+03  1.0000E+00
   0.0000E+00  1.5767E+01  1.5875E+01  2.0265E+02  6.2604E+00  3.8610E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.7541E+00  9.7913E+00  1.1722E+02  6.3054E+00  3.6713E+03  1.1634E+03  1.0000E+00
   0.0000E+00  1.6387E+01  1.6648E+01  2.1278E+02  6.2217E+00  3.8687E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0139E+01  1.0268E+01  1.2307E+02  6.2663E+00  3.6782E+03  1.1642E+03  1.0000E+00
   0.0000E+00  1.7008E+01  1.7420E+01  2.2291E+02  6.1850E+00  3.8760E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0523E+01  1.0745E+01  1.2892E+02  6.2292E+00  3.6846E+03  1.1649E+03  1.0000E+00
   0.0000E+00  1.7628E+01  1.8192E+01  2.3305E+02  6.1501E+00  3.8830E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0907E+01  1.1221E+01  1.3477E+02  6.1940E+00  3.6909E+03  1.1656E+03  1.0000E+00
   0.0000E+00  1.8248E+01  1.8962E+01  2.4318E+02  6.1170E+00  3.8898E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1291E+01  1.1696E+01  1.4062E+02  6.1605E+00  3.6968E+03  1.1663E+03  1.0000E+00
   0.0000E+00  1.8868E+01  1.9732E+01  2.5331E+02  6.0854E+00  3.8962E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1675E+01  1.2171E+01  1.4647E+02  6.1286E+00  3.7025E+03  1.1669E+03  1.0000E+00
   0.0000E+00  8.9774E+00  2.0501E+01  2.6344E+02  6.0552E+00  3.9024E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.5467E+00  1.2646E+01  1.5232E+02  6.0981E+00  3.7080E+03  1.1676E+03  1.0000E+00
   0.0000E+00  9.6053E+00  2.1270E+01  2.7358E+02  6.0264E+00  3.9083E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.9350E+00  1.3120E+01  1.5817E+02  6.0689E+00  3.7133E+03  1.1681E+03  1.0000E+00
   0.0000E+00  1.0232E+01  2.2037E+01  2.8371E+02  5.9987E+00  3.9141E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.3228E+00  1.3594E+01  1.6402E+02  6.0410E+00  3.7183E+03  1.1687E+03  1.0000E+00
   0.0000E+00  1.0859E+01  2.2804E+01  2.9384E+02  5.9721E+00  3.9196E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.7102E+00  1.4067E+01  1.6987E+02  6.0141E+00  3.7232E+03  1.1693E+03  1.0000E+00
   0.0000E+00  1.1485E+01  2.3571E+01  3.0398E+02  5.9466E+00  3.9250E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.0973E+00  1.4541E+01  1.7572E+02  5.9883E+00  3.7280E+03  1.1698E+03  1.0000E+00
   0.0000E+00  1.2110E+01  1.1375E+01  1.4185E+02  6.3968E+00  3.7886E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.4841E+00  7.0143E+00  8.2093E+01  6.4248E+00  3.6055E+03  1.1496E+03  1.0000E+00
   0.0000E+00  1.2735E+01  1.2165E+01  1.5199E+02  6.3403E+00  3.7993E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.8705E+00  7.5022E+00  8.7947E+01  6.3679E+00  3.6149E+03  1.1507E+03  1.0000E+00
   0.0000E+00  1.3359E+01  1.2955E+01  1.6212E+02  6.2880E+00  3.8092E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.2567E+00  7.9894E+00  9.3801E+01  6.3152E+00  3.6237E+03  1.1517E+03  1.0000E+00
   0.0000E+00  1.3983E+01  1.3743E+01  1.7225E+02  6.2393E+00  3.8185E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.6426E+00  8.4758E+00  9.9655E+01  6.2661E+00  3.6320E+03  1.1527E+03  1.0000E+00
   0.0000E+00  1.4606E+01  1.4531E+01  1.8238E+02  6.1937E+00  3.8274E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.0282E+00  8.9616E+00  1.0551E+02  6.2202E+00  3.6398E+03  1.1536E+03  1.0000E+00
   0.0000E+00  1.5229E+01  1.5317E+01  1.9252E+02  6.1510E+00  3.8357E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.4136E+00  9.4467E+00  1.1136E+02  6.1771E+00  3.6472E+03  1.1544E+03  1.0000E+00
   0.0000E+00  1.5852E+01  1.6102E+01  2.0265E+02  6.1107E+00  3.8436E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.7987E+00  9.9312E+00  1.1721E+02  6.1365E+00  3.6542E+03  1.1552E+03  1.0000E+00
   0.0000E+00  1.6474E+01  1.6887E+01  2.1278E+02  6.0728E+00  3.8512E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0184E+01  1.0415E+01  1.2306E+02  6.0981E+00  3.6609E+03  1.1560E+03  1.0000E+00
   0.0000E+00  1.7096E+01  1.7670E+01  2.2291E+02  6.0368E+00  3.8584E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0568E+01  1.0899E+01  1.2891E+02  6.0618E+00  3.6672E+03  1.1567E+03  1.0000E+00
   0.0000E+00  1.7718E+01  1.8453E+01  2.3305E+02  6.0026E+00  3.8653E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0953E+01  1.1382E+01  1.3477E+02  6.0274E+00  3.6733E+03  1.1574E+03  1.0000E+00
   0.0000E+00  1.8339E+01  1.9234E+01  2.4318E+02  5.9702E+00  3.8719E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1337E+01  1.1864E+01  1.4062E+02  5.9946E+00  3.6791E+03  1.1581E+03  1.0000E+00
   0.0000E+00  1.8960E+01  2.0016E+01  2.5331E+02  5.9392E+00  3.8782E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1721E+01  1.2346E+01  1.4647E+02  5.9633E+00  3.6847E+03  1.1587E+03  1.0000E+00
   0.0000E+00  9.0798E+00  2.0796E+01  2.6344E+02  5.9096E+00  3.8842E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.6072E+00  1.2828E+01  1.5232E+02  5.9334E+00  3.6901E+03  1.1593E+03  1.0000E+00
   0.0000E+00  9.7132E+00  2.1576E+01  2.7358E+02  5.8813E+00  3.8901E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.9986E+00  1.3309E+01  1.5817E+02  5.9048E+00  3.6953E+03  1.1599E+03  1.0000E+00
   0.0000E+00  1.0346E+01  2.2355E+01  2.8371E+02  5.8542E+00  3.8957E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.3896E+00  1.3790E+01  1.6401E+02  5.8774E+00  3.7002E+03  1.1604E+03  1.0000E+00
   0.0000E+00  1.0978E+01  2.3133E+01  2.9384E+02  5.8282E+00  3.9012E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.7801E+00  1.4270E+01  1.6986E+02  5.8511E+00  3.7050E+03  1.1610E+03  1.0000E+00
